,Start Time,Duration,Error Type
445,2019-06-12 07:20:36.000,0.1,L0P1
446,2019-06-12 07:21:10.200,0.1,L1P0
447,2019-06-12 07:21:11.000,0.1,L0P1
448,2019-06-12 07:21:38.800,0.2,L0P1
449,2019-06-12 07:22:05.500,0.1,L1P0
450,2019-06-12 07:22:07.500,0.2,L0P1
451,2019-06-12 07:22:09.700,0.2,L0P1
452,2019-06-12 07:22:12.300,0.1,L0P1
453,2019-06-12 07:22:41.600,0.1,L0P1
454,2019-06-12 07:22:43.500,0.2,L0P1
455,2019-06-12 07:22:45.300,0.2,L0P1
456,2019-06-12 07:22:47.400,0.2,L0P1
457,2019-06-12 07:22:54.800,0.9,L0P1
458,2019-06-12 07:23:13.000,0.1,L1P0
459,2019-06-12 07:23:57.400,0.2,L0P1
460,2019-06-12 07:24:08.100,0.2,L0P1
461,2019-06-12 07:24:29.700,0.3,L0P1
462,2019-06-12 07:24:50.900,1.3,L0P1
463,2019-06-12 07:25:12.300,0.1,L0P1
464,2019-06-12 07:25:21.100,0.1,L1P0
465,2019-06-12 07:25:21.800,0.1,L0P1
466,2019-06-12 07:27:18.200,0.2,L1P0
467,2019-06-12 07:27:19.800,0.2,L0P1
468,2019-06-12 07:28:12.500,0.2,L0P1
469,2019-06-12 07:28:17.700,0.2,L0P1
470,2019-06-12 07:28:19.200,0.1,L1P0
471,2019-06-12 07:28:21.100,0.3,L0P1
472,2019-06-12 07:28:21.500,0.1,L1P0
473,2019-06-12 07:28:23.100,0.2,L0P1
474,2019-06-12 07:31:19.700,1.4,L0P1
475,2019-06-12 07:31:34.100,0.1,L0P1
476,2019-06-12 07:31:34.700,0.3,L0P1
477,2019-06-12 07:32:13.900,0.2,L1P0
478,2019-06-12 07:32:39.300,0.5,L0P1
479,2019-06-12 07:32:43.900,0.3,L0P1
480,2019-06-12 07:32:50.600,0.1,L1P0
481,2019-06-12 07:32:51.400,0.1,L0P1
482,2019-06-12 07:33:14.200,0.1,L1P0
483,2019-06-12 07:33:14.800,0.1,L0P1
484,2019-06-12 07:33:45.500,0.1,L0P1
485,2019-06-12 07:34:09.000,0.8,L0P1
486,2019-06-12 07:34:18.200,0.2,L0P1
487,2019-06-12 07:34:26.000,0.2,L0P1
488,2019-06-12 07:35:36.500,1.2,L0P1
489,2019-06-12 07:35:43.100,0.2,L0P1
490,2019-06-12 07:36:20.300,0.2,L0P1
491,2019-06-12 07:36:23.700,0.2,L0P1
492,2019-06-12 07:36:27.700,0.1,L1P0
493,2019-06-12 07:36:28.500,0.2,L0P1
494,2019-06-12 07:36:40.600,0.1,L1P0
495,2019-06-12 07:37:26.500,0.1,L1P0
496,2019-06-12 07:37:28.500,0.3,L0P1
497,2019-06-12 07:37:29.400,0.1,L1P0
498,2019-06-12 07:37:32.900,0.3,L0P1
499,2019-06-12 07:39:00.800,0.4,L0P1
500,2019-06-12 07:39:03.800,0.2,L0P1
501,2019-06-12 07:39:09.700,0.2,L0P1
502,2019-06-12 07:39:23.200,0.1,L0P1
503,2019-06-12 07:40:13.000,0.2,L0P1
504,2019-06-12 07:40:15.500,0.3,L0P1
505,2019-06-12 07:41:58.900,0.7,L0P1
506,2019-06-12 07:42:02.800,0.6,L0P1
507,2019-06-12 07:42:03.800,0.1,L1P0
508,2019-06-12 07:42:05.300,0.4,L0P1
509,2019-06-12 07:42:07.300,0.1,L0P1
510,2019-06-12 07:42:08.500,0.2,L1P0
511,2019-06-12 07:42:09.700,0.2,L0P1
512,2019-06-12 07:43:06.800,0.1,L0P1
513,2019-06-12 07:43:33.000,0.1,L0P1
514,2019-06-12 07:44:01.900,0.1,L1P0
515,2019-06-12 07:45:06.200,0.3,L0P1
516,2019-06-12 07:45:11.200,0.1,L0P1
517,2019-06-12 07:45:11.500,0.1,L1P0
518,2019-06-12 07:45:13.100,0.1,L1P0
