,Timestamp,Event Type,Parameter
509,2019-07-03 10:40:43.900,81,VC 17/36
510,2019-07-03 10:42:20.200,82,VC 17/36
513,2019-07-03 10:42:22.300,81,VC 17/36
514,2019-07-03 10:43:26.700,82,VC 17/36
515,2019-07-03 10:43:28.600,81,VC 17/36
516,2019-07-03 10:44:55.200,82,VC 17/36
519,2019-07-03 10:44:57.600,81,VC 17/36
520,2019-07-03 10:50:03.100,82,VC 17/36
521,2019-07-03 10:50:06.000,81,VC 17/36
522,2019-07-03 10:50:28.200,82,VC 17/36
523,2019-07-03 10:50:36.100,81,VC 17/36
524,2019-07-03 10:50:39.400,82,VC 17/36
525,2019-07-03 10:50:43.200,81,VC 17/36
526,2019-07-03 10:50:56.100,82,VC 17/36
527,2019-07-03 10:50:57.600,81,VC 17/36
528,2019-07-03 10:53:55.800,82,VC 17/36
529,2019-07-03 10:53:59.600,81,VC 17/36
530,2019-07-03 10:56:05.200,82,VC 17/36
531,2019-07-03 10:56:08.700,81,VC 17/36
532,2019-07-03 10:57:57.600,82,VC 17/36
533,2019-07-03 10:58:01.600,81,VC 17/36
534,2019-07-03 10:58:35.600,82,VC 17/36
535,2019-07-03 10:58:37.500,81,VC 17/36
536,2019-07-03 10:58:50.000,82,VC 17/36
539,2019-07-03 10:58:51.900,81,VC 17/36
540,2019-07-03 10:59:40.400,82,VC 17/36
541,2019-07-03 10:59:47.400,81,VC 17/36
542,2019-07-03 11:00:08.900,82,VC 17/36
545,2019-07-03 11:00:10.800,81,VC 17/36
546,2019-07-03 11:00:31.900,82,VC 17/36
547,2019-07-03 11:00:34.100,81,VC 17/36
548,2019-07-03 11:01:01.400,82,VC 17/36
549,2019-07-03 11:01:04.000,81,VC 17/36
550,2019-07-03 11:01:42.200,82,VC 17/36
553,2019-07-03 11:01:44.600,81,VC 17/36
554,2019-07-03 11:01:57.900,82,VC 17/36
557,2019-07-03 11:02:02.400,81,VC 17/36
558,2019-07-03 11:02:05.900,82,VC 17/36
561,2019-07-03 11:02:10.000,81,VC 17/36
562,2019-07-03 11:05:05.600,82,VC 17/36
563,2019-07-03 11:05:33.200,81,VC 17/36
564,2019-07-03 11:07:00.800,82,VC 17/36
565,2019-07-03 11:07:03.600,81,VC 17/36
566,2019-07-03 11:07:23.400,82,VC 17/36
569,2019-07-03 11:07:26.200,81,VC 17/36
570,2019-07-03 11:07:27.100,82,VC 17/36
571,2019-07-03 11:07:31.800,81,VC 17/36
572,2019-07-03 11:07:32.700,82,VC 17/36
575,2019-07-03 11:07:36.800,81,VC 17/36
576,2019-07-03 11:08:29.600,82,VC 17/36
577,2019-07-03 11:08:33.600,81,VC 17/36
578,2019-07-03 11:09:38.100,82,VC 17/36
579,2019-07-03 11:09:40.300,81,VC 17/36
580,2019-07-03 11:11:46.800,82,VC 17/36
581,2019-07-03 11:11:48.600,81,VC 17/36
582,2019-07-03 11:12:08.600,82,VC 17/36
583,2019-07-03 11:12:13.800,81,VC 17/36
584,2019-07-03 11:15:18.900,82,VC 17/36
585,2019-07-03 11:15:20.400,81,VC 17/36
586,2019-07-03 11:15:20.500,82,VC 17/36
587,2019-07-03 11:15:20.600,81,VC 17/36
588,2019-07-03 11:15:22.000,82,VC 17/36
589,2019-07-03 11:15:24.000,81,VC 17/36
590,2019-07-03 11:16:13.600,82,VC 17/36
593,2019-07-03 11:16:56.900,81,VC 17/36
594,2019-07-03 11:17:25.300,82,VC 17/36
595,2019-07-03 11:17:29.800,81,VC 17/36
596,2019-07-03 11:19:45.700,82,VC 17/36
597,2019-07-03 11:19:55.800,81,VC 17/36
598,2019-07-03 11:24:27.900,82,VC 17/36
599,2019-07-03 11:24:29.800,81,VC 17/36
600,2019-07-03 11:27:19.300,82,VC 17/36
603,2019-07-03 11:27:33.100,81,VC 17/36
604,2019-07-03 11:28:38.400,82,VC 17/36
605,2019-07-03 11:28:42.600,81,VC 17/36
606,2019-07-03 11:29:57.600,82,VC 17/36
609,2019-07-03 11:29:59.900,81,VC 17/36
610,2019-07-03 11:30:29.900,82,VC 17/36
613,2019-07-03 11:30:33.300,81,VC 17/36
614,2019-07-03 11:31:44.600,82,VC 17/36
617,2019-07-03 11:31:46.600,81,VC 17/36
618,2019-07-03 11:33:56.900,82,VC 17/36
619,2019-07-03 11:34:06.600,81,VC 17/36
620,2019-07-03 11:35:30.000,82,VC 17/36
621,2019-07-03 11:35:32.600,81,VC 17/36
622,2019-07-03 11:35:42.200,82,VC 17/36
623,2019-07-03 11:35:44.200,81,VC 17/36
624,2019-07-03 11:35:51.000,82,VC 17/36
625,2019-07-03 11:35:53.800,81,VC 17/36
626,2019-07-03 11:37:46.600,82,VC 17/36
629,2019-07-03 11:37:48.600,81,VC 17/36
630,2019-07-03 11:38:22.600,82,VC 17/36
631,2019-07-03 11:38:27.100,81,VC 17/36
632,2019-07-03 11:39:16.900,82,VC 17/36
635,2019-07-03 11:39:18.600,81,VC 17/36
636,2019-07-03 11:39:55.600,82,VC 17/36
637,2019-07-03 11:40:14.100,81,VC 17/36
638,2019-07-03 11:42:02.600,82,VC 17/36
639,2019-07-03 11:42:05.600,81,VC 17/36
640,2019-07-03 11:42:06.700,82,VC 17/36
641,2019-07-03 11:42:29.200,81,VC 17/36
642,2019-07-03 11:42:57.000,82,VC 17/36
643,2019-07-03 11:42:59.400,81,VC 17/36
644,2019-07-03 11:42:59.500,82,VC 17/36
645,2019-07-03 11:42:59.600,81,VC 17/36
646,2019-07-03 11:43:29.000,82,VC 17/36
647,2019-07-03 11:43:31.900,81,VC 17/36
648,2019-07-03 11:43:44.200,82,VC 17/36
649,2019-07-03 11:43:47.000,81,VC 17/36
650,2019-07-03 11:43:47.500,82,VC 17/36
651,2019-07-03 11:43:50.400,81,VC 17/36
652,2019-07-03 11:44:47.200,82,VC 17/36
655,2019-07-03 11:44:52.200,81,VC 17/36
656,2019-07-03 11:45:25.500,82,VC 17/36
657,2019-07-03 11:45:28.400,81,VC 17/36
658,2019-07-03 11:46:17.800,82,VC 17/36
